Area_Criadora_Evento,Area_Solucionadora,UF,Segmentacao_Cliente,Nivel_1,Nivel_2,Nivel_3,Acao_Resolucao,contrato,Nome_tecnologia_aparelho
Area_15,Area_8,BA,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_17,Area_1,RN,Seg_7,N1_6,N2_12,N3_18,AR_7,Contr_5,GSM
Area_3,Area_9,GO,Seg_1,N1_1,N2_6,N3_19,AR_6,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,ES,Seg_2,N1_2,N2_5,N3_2,AR_1,Contr_3,GSM
Area_3,Area_4,RJ,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_14,Area_5,SP,Seg_8,N1_2,N2_5,N3_20,AR_1,Contr_2,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_4,N3_21,AR_10,Contr_1,3G - WCDMA (UMTS)
Area_9,Area_4,GO,Seg_2,N1_2,N2_5,N3_2,AR_2,Contr_2,GSM
Area_2,Area_1,PR,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_15,Area_8,PR,Seg_10,N1_5,N2_11,N3_17,AR_11,Contr_2,GSM
Area_8,Area_4,SP,Seg_1,N1_2,N2_5,N3_3,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_15,Area_8,BA,Seg_10,N1_5,N2_11,N3_17,AR_11,Contr_2,GSM
Area_3,Area_10,SC,Seg_1,N1_1,N2_4,N3_22,AR_12,Contr_1,3G - WCDMA (UMTS)
Area_15,Area_8,BA,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_3,Area_4,MG,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_9,Area_4,SP,Seg_2,N1_2,N2_5,N3_2,AR_2,Contr_2,GSM
Area_14,Area_11,MG,Seg_8,N1_1,N2_6,N3_14,AR_1,Contr_1,GSM
Area_15,Area_8,BA,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_3,Area_4,SP,Seg_1,N1_2,N2_5,N3_2,AR_2,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_6,SP,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_7,N2_13,N3_23,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,RJ,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_4,RJ,Seg_11,N1_2,N2_5,N3_2,AR_2,Contr_3,GSM
Area_3,Area_7,SC,Seg_1,N1_1,N2_6,N3_8,AR_13,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,PI,Seg_1,N1_2,N2_2,N3_5,AR_1,Contr_1,Outras
Area_3,Area_1,ES,Seg_2,N1_1,N2_6,N3_24,AR_2,Contr_3,GSM
Area_13,Area_11,MG,Seg_4,N1_1,N2_6,N3_25,AR_1,Contr_2,GSM
Area_18,Area_11,MG,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_6,N3_6,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_10,Area_4,SP,Seg_5,N1_2,N2_8,N3_9,AR_1,Contr_2,GSM
Area_15,Area_8,BA,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_15,Area_8,BA,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_3,Area_1,SP,Seg_2,N1_1,N2_4,N3_16,AR_3,Contr_3,GSM
Area_3,Area_4,SP,Seg_1,N1_2,N2_2,N3_2,AR_1,Contr_1,Outras
Area_15,Area_8,GO,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_13,Area_12,RN,Seg_4,N1_1,N2_1,N3_2,AR_1,Contr_2,GSM
Area_15,Area_8,GO,Seg_10,N1_5,N2_11,N3_17,AR_1,Contr_2,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_17,Area_1,PE,Seg_7,N1_6,N2_12,N3_18,AR_7,Contr_5,GSM
Area_19,Area_2,BA,Seg_2,N1_2,N2_2,N3_3,AR_2,Contr_2,GSM
Area_3,Area_4,RJ,Seg_2,N1_2,N2_5,N3_2,AR_5,Contr_3,GSM
Area_3,Area_4,MG,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,RJ,Seg_1,N1_1,N2_9,N3_10,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,SP,Seg_1,N1_2,N2_5,N3_5,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_1,N2_9,N3_10,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,SP,Seg_1,N1_2,N2_2,N3_2,AR_1,Contr_1,Outras
Area_20,Area_4,RJ,Seg_4,N1_2,N2_8,N3_9,AR_1,Contr_2,GSM
Area_20,Area_6,SP,Seg_4,N1_1,N2_6,N3_14,AR_1,Contr_2,GSM
Area_3,Area_1,SE,Seg_1,N1_1,N2_1,N3_1,AR_7,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_1,N2_4,N3_4,AR_3,Contr_1,3G - WCDMA (UMTS)
Area_6,Area_3,,Seg_12,N1_3,N2_3,N3_3,AR_5,Contr_2,GSM
Area_12,Area_4,PB,Seg_7,N1_2,N2_10,N3_20,AR_1,Contr_3,GSM
Area_12,Area_4,RN,Seg_7,N1_2,N2_10,N3_3,AR_3,Contr_3,GSM
Area_3,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MT,Seg_1,N1_1,N2_9,N3_10,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,RS,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_1,N2_6,N3_26,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_21,Area_2,SP,Seg_13,N1_8,N2_9,N3_27,AR_5,Contr_2,GSM
Area_12,Area_4,RS,Seg_7,N1_2,N2_10,N3_3,AR_2,Contr_3,GSM
Area_14,Area_13,SC,Seg_8,N1_1,N2_4,N3_21,AR_12,Contr_2,GSM
Area_12,Area_1,CE,Seg_7,N1_9,N2_14,N3_28,AR_7,Contr_3,GSM
Area_3,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
